2026-07-03 23:43:27.120 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-1\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-1\test_parser_file_not_found0\does_not_exist.docx'
2026-07-03 23:43:27.296 | ERROR    | pipeline:get_hash:47 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-03 23:43:37.290 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-2\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-2\test_parser_file_not_found0\does_not_exist.docx'
2026-07-03 23:43:37.459 | ERROR    | pipeline:get_hash:47 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-03 23:43:58.693 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-3\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-3\test_parser_file_not_found0\does_not_exist.docx'
2026-07-03 23:43:58.708 | ERROR    | pipeline:get_hash:47 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-04 00:08:17.120 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-4\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-4\test_parser_file_not_found0\does_not_exist.docx'
2026-07-04 00:08:17.125 | ERROR    | pipeline:send_data:105 - Go-сервер вернул ошибку 500: Internal Server Error
2026-07-04 00:08:17.127 | ERROR    | pipeline:send_data:111 - Сетевая ошибка при отправке на Go-бэкенд: Сервер не отвечает
2026-07-04 00:08:17.151 | ERROR    | pipeline:get_hash:47 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
2026-07-04 00:33:34.361 | ERROR    | parser.docx_parser:parse:43 - Ошибка при чтении DOCX файла C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-5\test_parser_file_not_found0\does_not_exist.docx: Package not found at 'C:\Users\user\AppData\Local\Temp\pytest-of-user\pytest-5\test_parser_file_not_found0\does_not_exist.docx'
2026-07-04 00:33:34.365 | ERROR    | pipeline:send_data:105 - Go-сервер вернул ошибку 500: Internal Server Error
2026-07-04 00:33:34.368 | ERROR    | pipeline:send_data:111 - Сетевая ошибка при отправке на Go-бэкенд: Сервер не отвечает
2026-07-04 00:33:34.403 | ERROR    | pipeline:get_hash:47 - Ошибка вычисления хэша для non_existent_file.pdf: [Errno 2] No such file or directory: 'non_existent_file.pdf'
